sr,activity_id,sr_problem_description,component_area,final_service_action_code,service_request_number,action_code,activity_type,activity_type_std,asset_install_date,cause,component_subsystem,component_sub_area,corrective_repair_flag,installed_country,modality,modality_grouping,current_modality,problem.1,problem_code,problem_duplicated,problem_found,psi_code,resolution_code_action_taken,service_request_status,service_request_type,service_request_type_std,date,time1,sr_close_date,sr_error_description,sr_error_flag,date,time2,sr_open_date,system_id
11,a1K8b00000QTx8ZEAT,Configurar filtro do WorkList,,,7332878,,Remote Service,Remote Service,OCT-21-2019,Not Applicable,Tube,,Y,Brazil,CT,,,Configurar filtro do WorkList,,,Configurar Filtro do WorkList,CSEC11,"Cliente Sr Edvandir (88)99439-6929 necessitando alterar as Configurações do filtro de WorkList.
Realizado a Configuração/Demonstração do Filtro de WorkList conforme necessidade do Cliente.
Testes de funcionamento do Filtro ok.",Closed,Corrective Repair,Corrective Repair,01-04-2018,08:49,01-04-2018 08:49,,VALID,01-04-2018,09:34,01-04-2018 09:34,CT54672BG1
12,a1K8b00000QUol1EAD,EQUIPAMENTO APRESENTANDO FALHA: SCAN INTERROMPIDO PELO SCANNER; TRAFO DE ENTRADA APRESENTANDO ,,,7464085,,Remote Service,Remote Service,JUN-18-2018,Acompanhamento no local necessário para confirmação da causa raiz.,Host machine,,Y,Brazil,MRI,,,EQUIPAMENTO APRESENTANDO FALHA: SCAN INTERROMPIDO PELO SCANNER; TRAFO DE ENTRADA APRESENTANDO BARULHO DE PEÇA INTERNA QUEBRADA AO REALIZAR A TENTATIVA DO SCAN.,,,Hardware do scanner parou a varredura ou varredura abortada.,CSPL39,"Caso discutido com o cliente, Sr. Bruno Recco para entender melhor o problema e coletar detalhes. Verificado histórico do sistema para problemas recorrentes. Conectado via insite. Analisado a configuração do sistema e logs de erros. Identificada a necessidade de atendimento presencial. Chamado encaminhado para campo com as observações pertinentes e sugestão de plano de ação.",Closed,Corrective Repair,Corrective Repair,01-04-2018,08:20,01-04-2018 08:20,,VALID,01-04-2018,10:23,01-04-2018 10:23,CJRBS1800004CN
13,a1K8b00000QUJ3YEAX,"El equipo se bloquea cuando se realizan estudios/adquisiciones de ANGIOTAC con medios de contraste lo cual ocasiona que se vuelva a repetir el estudio y se desperdicie medio de contraste.
 Image:8214-NONE-NONE",,,7360390,,Field Service,Field Service,JUN-18-2013,Desgaste.,Host machine,,Y,Mexico HQ,MRI,CT,CT,"El equipo se bloquea cuando se realizan estudios/adquisiciones de ANGIOTAC con medios de contraste lo cual ocasiona que se vuelva a repetir el estudio y se desperdicie medio de contraste.
 Image:8214-NONE-NONE",,,Falla intermintente de comunicación.,CUPG08,Se reemplazan carbones de BrushBlock de acuerdo a manual de servicio 5338260-8EN.,Fixed,Corrective Repair,Corrective Repair,01-04-2018,19:41,01-04-2018 19:41,,VALID,01-04-2018,10:32,01-04-2018 10:32,CT371151CN2
14,a1K8b00000QVdE7EAL,Premium//Maquina esta apresentando falha no sub gerenciamento do arquivamento de imagens. Desligando sozinha por conta disso.,,,7503618,,Field Service,Field Service,JUL-02-2010,"Falha de:darc: No route to host, devido ao problema no HDIG.",Tube,,Y,Brazil,CT,,,Premium//Maquina esta apresentando falha no sub gerenciamento do arquivamento de imagens. Desligando sozinha por conta disso.,,,"Ao tentar inicializar o Application Software, o equipamento esta apresentando falha no sub gerenciamento do arquivamento de imagens, o DARC. Em seguida, ele está desligando o sistema automaticamente.",CSPH03,"1.	Efetuada a remoção da HDIG antiga, removido as placas HDIP e SAS Controller.;2.	Instalado as placas HDIP e SAS Controller na nova HDIG, conforme instruções da Service Note 1875279.;3.	Instalado nova HDIP no console, conforme instruções do manual de serviços do equipamento.;4.	Executado procedimento de LFC, haja visto que na visita anterior, não havia sido possível completar o LFC devido ao problema que estava sendo apresentado.;5.	Durante o procedimento de LFC, ao inicializar a nova HDIG, foi observado que, diferente da HDIG anterior, a atual está com o “Status LED A” em GREEN com “Solid On”, ou seja, o que significa que o sistema está OK. Contudo, foi observado falha de PCIe01 durante o boot da HDIG em si, cujo o erro, potencialmente, estava relacionado com a má conexão da placa offboard SAS Controller. Tal falha implicava na inicialização adequada da HDIG, impedindo a comunicação do IP 172.16.0.2 e, consequentemente, impedindo prosseguir com o procedimento adequado do LFC.;6.	Foi feito a desmontagem do HDIG para reconexão de todas as placas offboard que compõem o sistema. Feito isso, a HDIG foi reinstalada no console e um novo LFC foi executado com sucesso, seguindo todas as etapas mencionadas no manual de serviços do equipamento (5343532-2EN – Ver.27).;7.	Foi feita a instalação do Service Pack 2.0 do software.;8.	Executado Tube Install Certification.;9.	Executado Flash Download.;10.	Executado Restore Runtime Paramiters.;11.	Executado calibração de filamento.;12.	Executado Fast Cal.;13.	Foi solicitado ao time de conectividade que fosse refeito o checkout da conexão remota do equipamento.;14.	Efetuado backup das configurações do System State.;15.	Executado procedimento de System Scanning Test para validação das funcionalidades do equipamento.;;Observação: O equipamento retornou com o Total Patient Exams = 13.440, referente ao dia 09/Agosto/2022, quando houve a troca dos HDs do Host.",Closed,Corrective Repair,Corrective Repair,01-04-2018,18:28,01-04-2018 18:28,,VALID,01-04-2018,10:54,01-04-2018 10:54,2842841
15,a1K8b00000QTzwREAT,Performance Full // Equipamento  apresentando  erro -   Disco  com  pouco  espaço de armazenamento.,,,7335355,,Field Service,Field Service,JUN-21-2021,AWS VIRTUAL.,Magnet,,Y,Brazil,MRI,,,Performance Full // Equipamento  apresentando  erro -   Disco  com  pouco  espaço de armazenamento.,,,CLIENTE ALEGA QUE AWS VIRTUAL NÃO CARREGA.,CSPL63,"AO CHEGAR AO SITE, EQUIPAMENTO ESTAVA EM FUNCIONAMENTO E NÃO HOUVE COMO FAZER UMA VERIFICAÇÃO MAIS DETALHADA. CLIENTE ALEGOU OUTRO DEFEITO COM O MONITOR CARDIACO, QUE SERÁ TRATADO EM OUTRO CASE.

02/08/2022.: USUÁRIO RECLAMA QUE EQUIPAMENTO NÃO ABRE REFORMAT, IMPOSSIBLITANDO O USO DA AWS. FOI REALIZADO O REBOOT DA AWS E FEITO TESTES COM O REFORMAT, O MESMO FUNCIONOU NORMALMENTE. FOI FEITO OUTRA VISITA NA DATA DE HOJE (03/08/2022) E O EQUIPAMENTO ESTA FUNCIONANDO NORMALMENTE, E LIBERADO PARA USO.",Closed,Corrective Repair,Corrective Repair,01-04-2018,12:19,01-04-2018 12:19,,VALID,01-04-2018,11:02,01-04-2018 11:02,CBDMG2100044HM
16,a1K8b00000QVCcgEAH,Scan interrompido,,,7503758,,Field Service,Field Service,SEP-23-2020,Falha do Tubo de Raio-X.,Magnet,,Y,Brazil,MRI,,,Scan interrompido,,,Scan interrompido pelo Scanner. Troca do Tubo de Raio-X.,CSPK09,Realizado teste de No Load KV com o Tubo e o teste reprovou. Retirado os cabos do Tubo de Raio-X e refeito o Teste de No Load KV e passou confirmando a falha no Tubo de Raio-X.;Realizado a Troca do Tubo de Raio-X. Reset nos dados do gerador. Realizado Alinhamento Mecânico de posição do Tubo de Raio-X. Realizado Calibração do Filamento. Realizado calibração do HHS Scans. Calibração do HOT ISO. Calibração do Colimador e Calibração Detalhada. Realizado calibração diária. Salvo System State DVD e USB.;Tubo anterior durou 18.562 Exames.,Closed,Corrective Repair,Corrective Repair,01-04-2018,18:35,01-04-2018 18:35,,VALID,01-04-2018,11:50,01-04-2018 11:50,CT610774HM2
17,a1K8b00000QV24NEAT,"Fallo de generacion de rx, posible tubo de rx",,,7480005,,Remote Service,Remote Service,JUL-30-2019,Posible tubo de rayos x,Tube,,Y,Colombia,CT,,,"Fallo de generacion de rx, posible tubo de rx",,,Reportan que el equipo aborta las exploraciones,CSPL28,"1. Se encuentra fallos del rotor del tubo en el log de errores desde el dia de ayer pasadas las 8 pm
2. Se realiza HVBAT no arroja fallo de tubo pero en el Jedi se encuentran solo errores de velocidades del rotror.
3. Se intenta arrancar el rotor pero no es posible remotamente.
4. El historial del tubo indica aproximadamente mas 17 mil estudios instalado en marzo de este año.
5. Se informa al cliente que es necesario realizar diagnostico en sitio",Closed,Corrective Repair,Corrective Repair,01-04-2018,02:20,01-04-2018 02:20,,VALID,01-04-2018,11:51,01-04-2018 11:51,CT2499CO
18,a1K8b00000QUTiSEAX,System no reboot for more than 8 days,,,7409529,,Remote Service,Remote Service,MAR-17-2020,8 days without reboot,Tube,,Y,Argentina,CT,,,System no reboot for more than 8 days,,,8 days without reboot,CSPC21,"Review booting dates, confirm detection, message sent to console operator",Closed,Corrective Repair,Corrective Repair,01-04-2018,17:44,01-04-2018 17:44,,VALID,01-04-2018,12:15,01-04-2018 12:15,341BSICR
19,a1K8b00000QTquYEAT,"El disparo se esta interrumpiendo por un aviso que manda que dice, explorador parado por el scanner error 230020200.",,,7326758,,Remote Service,Remote Service,DEC-26-2013,,Magnet,,Y,Mexico HQ,MRI,,,"El disparo se esta interrumpiendo por un aviso que manda que dice, explorador parado por el scanner error 230020200.",,,,CSPG50,,Closed,Corrective Repair,Corrective Repair,01-04-2018,06:16,01-04-2018 06:16,,VALID,01-04-2018,12:31,01-04-2018 12:31,CT53397YC6
20,a1K8b00000QUxS7EAL,Access Classic//estão adquirindo medclaoud e precisa ser feito alguns testes,,,7474605,,Remote Service,Remote Service,DEC-02-2013,Configuração de rede.,Tube,,Y,Brazil,CT,,,Access Classic//estão adquirindo medclaoud e precisa ser feito alguns testes,,,Cliente solicita suporte no cadastro e testes de um novo servidor PACS.,CSPE59,Acesso remoto realizado e novo servidor cadastrado com sucesso.,Closed,Corrective Repair,Corrective Repair,01-04-2018,05:42,01-04-2018 05:42,,VALID,01-04-2018,13:28,01-04-2018 13:28,CT330475HM5
21,a1K8b00000QUK8aEAH,Equipo aborta la exploracion,,,7363144,,Remote Service,Remote Service,OCT-08-2012,Posible devanados del rotor del tubo,Host machine,,Y,Colombia,MRI,,,Equipo aborta la exploracion,,,Reportan que el equipo aborta las exploraciones,CSPE23,"1. Se hace  con el cliente y explica la falla.
2. Se revisa log de errores y se encuentra que hay fallas en el sistema de arranque del rotor del tubo de rx. 
260118359	Scan Type : Axial Scan: 50511/3/6;Technique Requested by genMgr -- kV:80 mA:80 FS(1:S 2:L 4:XL):2 Point:1 ExpTime(mS):2168;Rotor(2:LOW 4:HIGH):4 GenOptions:0x8 Freq: 984(Hz) Automa Update Interval(mS):0;and Automa Interval per rotation: 0;
260118168	Scan Type : Axial Scan: 50511/3/6;(40-0105)Rotor current phases unbalanced.;The amplitude difference of the current between main and auxiliary is too large. Z6,Z7= 2h,0h;
260118359	Scan Type : Axial Scan: 50511/3/4;Technique Requested by genMgr -- kV:80 mA:80 FS(1:S 2:L 4:XL):2 Point:1 ExpTime(mS):2168;Rotor(2:LOW 4:HIGH):4 GenOptions:0x8 Freq: 984(Hz) Automa Update Interval(mS):0;and Automa Interval per rotation: 0;
260118168	Scan Type : Axial Scan: 50511/3/4;(40-0105)Rotor current phases unbalanced.;The amplitude difference of the current between main and auxiliary is too large. Z6,Z7= 2h,0h;
3. Se informa al cliente que es necesario realizar pruebas en sitio, puede ser el rotor del tubo.",Closed,Corrective Repair,Corrective Repair,01-04-2018,11:30,01-04-2018 11:30,,VALID,01-04-2018,14:28,01-04-2018 14:28,CT303756HM1
22,a1K8b00000QUmG9EAL,Performance // Equipamento desligando sozinho tela preta com erro PC fatal.,,,7460588,,Remote Service,Remote Service,OCT-14-2016,Not Applicable,Tube,,Y,Brazil,CT,,,Performance // Equipamento desligando sozinho tela preta com erro PC fatal.,,,Equipamento reiniciando o Host.,CSPI89,,Fixed,Corrective Repair,Corrective Repair,01-04-2018,15:42,01-04-2018 15:42,,VALID,01-04-2018,14:28,01-04-2018 14:28,CJRSX1600001CN
23,a1K8b00000QUzzBEAT,VIP//Warranty//software não está reconhecendo gravador de CD.,,,7477456,,Remote Service,Remote Service,OCT-22-2021,Falha no reconhecimento do drive.,Magnet,,Y,Brazil,MRI,,,VIP//Warranty//software não está reconhecendo gravador de CD.,,,Cliente reporta que não está conseguindo gravar exames em CD/DVD.,CSPL39,Acesso remoto realizado para reinstalação do drive. Reinstalação realizada com sucesso. Cliente orientado sobre o processo de gravação de CD/DVD.,Closed,Corrective Repair,Corrective Repair,01-04-2018,07:30,01-04-2018 07:30,,VALID,01-04-2018,15:38,01-04-2018 15:38,CJRBS2100007CN
24,a1K8b00000QUgYkEAL,No detecta jeringa ya se cambio a nueva y no sirve el inyector.,,,7455318,,Remote Service,Remote Service,OCT-06-2009,Falla del accesorio inyector,Detector,,Y,Mexico HQ,CT,,,No detecta jeringa ya se cambio a nueva y no sirve el inyector.,,,"No es posible usar el accesorio Inyector de medio de contraste, el accesorio menciona que no detecta la jeringa del lado A",CSPE23,Se confirma la falla con el cliente.,Closed,Corrective Repair,Corrective Repair,01-04-2018,09:22,01-04-2018 09:22,,VALID,01-04-2018,17:42,01-04-2018 17:42,5747ELITE
25,a1K8b00000QUobzEAD,No tube usage data received for more than 14 days,,,7463832,,Remote Service,Remote Service,SEP-29-2020,No tube usage data received for more than 14 days,Host machine,,Y,Peru,MRI,,,No tube usage data received for more than 14 days,,,No tube usage data received for more than 14 days,CSRV01,The prodiags schedule was rescheduled. Adjusted task schedules,Closed,Corrective Repair,Corrective Repair,01-04-2018,02:19,01-04-2018 02:19,,VALID,01-04-2018,17:56,01-04-2018 17:56,REVVX2000015CN
26,a1K8b00000QVd1fEAD,Premium//Ruido muito alto vindo do guentry,,,7534310,,Field Service,Field Service,SEP-14-2010,Tubo de raios X,Magnet,,Y,Brazil,MRI,TUB,TUB,Premium//Ruido muito alto vindo do guentry,,,Cliente informa que há um barulho vindo do gantry e o equipamento aborta os scans.,CSPD12,"Feita a abertura do gantry para checagem do óleo e condições de cabos de alta tensão do tubo, não foram encontrados problemas. Feita uma tentativa de calibração de filamento, que foi abortada pelo equipamento. Tentativa de scan em 80, 100, 120 e 140KV o equipamento aborta scans a partir de 100 KV. Feita a troca do tubo e repetição dos testes, o equipamento se comportou de forma satisfatória. Feita as devidas calibrações de acordo com o manual de serviços e teste de qualidade de imagem. Equipamento liberado para uso.",Fixed,Corrective Repair,Corrective Repair,01-04-2018,00:27,01-04-2018 00:27,,VALID,01-04-2018,19:38,01-04-2018 19:38,1343498
27,a1K8b00000QUaR0EAL,Case 07344458,,,7448156,,Field Service,Field Service,MAR-02-2009,"CHAMADO ABERTO PARA LANÇAMENTO DE HORAS, POIS O TIME TRACKER NÃO SALVOU QUANDO LANÇEI.
ESSE CHAMADO FOI RESOLVIDO COM O CASE: 07344458; SEGUE ORDEM DE SERVIÇO EM ANEXO",Detector,,Y,Brazil,CT,,,Case 07344458,,,MÁQUINA APRESENTANDO ANGULAÇÃO NAS IMAGENS,CSPC19,"CHAMADO ABERTO PARA LANÇAMENTO DE HORAS, POIS O TIME TRACKER NÃO SALVOU QUANDO LANÇEI.;ESSE CHAMADO FOI RESOLVIDO COM O CASE: 07344458",Closed,Corrective Repair,Corrective Repair,02-04-2018,18:25,02-04-2018 18:25,,VALID,02-04-2018,02:14,02-04-2018 02:14,2748467
28,a1K8b00000QVFhrEAH,"La pantalla se queda congelada, el equipo se reinicia y arroja el error MCA error",,,7506854,,Field Service,Field Service,JUN-16-2017,"Falla en discos duros, y posible falla en tarjeta gráfica.",Host machine,,Y,Mexico HQ,MRI,CT,CT,"La pantalla se queda congelada, el equipo se reinicia y arroja el error MCA error",,,Error MCA al iniciar el CPU.,CSEC09,"Se acude a sitio para realizar verificación de problema. El software continúa trabandose. Por lo cual es necesario el reemplazo de los discos duros. Además, el cliente proporcionó una tarjeta gráfica la cual también fue reemplazada ya que, el error reportado también hacía mención a falla en esta tarjeta.;Se realiza LFC,recarga de software así como restore de protocolos. Se entrega equipo funcional al 100% y listo para su uso. Se queda en monitoreo el equipo 2 dias.",Closed,Corrective Repair,Corrective Repair,02-04-2018,09:53,02-04-2018 09:53,,VALID,02-04-2018,03:54,02-04-2018 03:54,CTE6PG1700025
29,a1K8b00000QTrTqEAL,Está aparecendo mensagem que o software está com problema de falta de espaço no disco.,,,7326816,,Field Service,Field Service,JUL-31-2018,Software corrupted.,Tube,,Y,Brazil,CT,,,Está aparecendo mensagem que o software está com problema de falta de espaço no disco.,,,Software não permite scan,CSEC11,Realizada recarga de software.,Closed,Corrective Repair,Corrective Repair,02-04-2018,17:26,02-04-2018 17:26,,VALID,02-04-2018,09:34,02-04-2018 09:34,CT37442BG1
30,a1K8b00000QVcfjEAD,Premium // Equipamento com erro de data base.,,,7533718,,Field Service,Field Service,APR-27-2006,Interrupção abrupta do processamento do banco de dados do equipamento (provável oscilação de energia).,Tube,,Y,Brazil,CT,,,Premium // Equipamento com erro de data base.,,,Verificado que a aplicação do equipamento estava travando devido à falha no banco de dados de raw data. Verificado também que o teclado do console está com algumas teclas danificadas.,CSPG01,Realizado procedimento te limpeza do banco de dados (resetImageDB_Linux). Providenciada a substituição do teclado do console.,Fixed,Corrective Repair,Corrective Repair,02-04-2018,21:31,02-04-2018 21:31,,VALID,02-04-2018,10:09,02-04-2018 10:09,1167487
31,a1K8b00000QUxAwEAL,System no reboot for more than 8 days,,,7474211,,Remote Service,Remote Service,MAY-29-2012,"- Rule ID: CTx00311
- Rule Description: System no reboot for more than 8 days",Detector,,Y,Mexico HQ,CT,,,System no reboot for more than 8 days,,,#NAME?,CSPE23,"- Verificacion de ultimo reinicio: Tue Aug 23 16:23:18 2022
- Equipo reiniciado recientemente
- Con mensaje de consola para los operadores, se recuerda realizar el reinicio diario del equipo",Closed,Corrective Repair,Corrective Repair,02-04-2018,18:50,02-04-2018 18:50,,VALID,02-04-2018,10:10,02-04-2018 10:10,3595CTEC
32,a1K8b00000QTuH3EAL,System no reboot for more than 8 days,,,7330056,,Remote Service,Remote Service,JUL-28-2016,Falta de reincialização do equipamento conforme orientações do fabricante,Tube,,Y,Brazil,CT,,,System no reboot for more than 8 days,,,System no reboot for more than 8 days,CSPE55,"Realizado a conexão no equipamento via insite e verificado que o equipamento foi reiniciado há: 26 dias atrás. Realizado conferência com o Cliente Sr Luiz Eduardo  (16)99452-7594
engenhariaclinica@santacasadefranca.com.br explicando a necessidade de reiniciar o software para otimização do mesmo assim que possível. O fato do equipamento ficar ligado por vários dias sem ser reinicializado pode causar lentidão no software, falhas no processo de reconstrução, corrompimento de software dentre outros problemas.
Cliente irá alertar os demais Operadores desta necessidade.",Closed,Corrective Repair,Corrective Repair,02-04-2018,05:39,02-04-2018 05:39,,VALID,02-04-2018,10:42,02-04-2018 10:42,CT411782HM6
